"","width","gene_id","gene_name","gene_biotype","description","entrezid"
"9477",1325,"WBGene00020547","srz-7","pseudogene","NULL",NA
"9478",847,"WBGene00020545","adbp-2","pseudogene","NULL",NA
"9479",2200,"WBGene00020546","zig-13","protein_coding","2 (Zwei) IG domain protein  [Source:UniProtKB/TrEMBL;Acc:O76697]",188571
"9480",6719,"WBGene00006894","ver-1","protein_coding","NULL",175182
"9481",1278,"WBGene00018244","F40G9.8","protein_coding","NULL",185556
"9482",596,"WBGene00018243","F40G9.7","protein_coding","NULL",175183
"9483",2172,"WBGene00189954","F40G9.18","protein_coding","NULL",13188264
"9484",278,"WBGene00200776","F40G9.22","ncRNA","NULL",NA
"9485",105,"WBGene00200007","F40G9.21","ncRNA","NULL",NA
"9486",1391,"WBGene00018245","F40G9.9","protein_coding","NULL",185557
"9487",848,"WBGene00018247","F40G9.12","protein_coding","NULL",185559
"9488",762,"WBGene00189955","F40G9.19","protein_coding","NULL",13188159
"9489",1225,"WBGene00018246","clec-148","protein_coding","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q9TZ75]",185558
"9490",1705,"WBGene00018248","F40G9.14","protein_coding","NULL",185560
"9491",20,"WBGene00195034","F40G9.20","ncRNA","NULL",NA
"9492",599,"WBGene00018242","F40G9.6","protein_coding","NULL",185555
"9493",1421,"WBGene00077531","F40G9.15","protein_coding","NULL",6418652
"9494",1685,"WBGene00018241","F40G9.5","protein_coding","NULL",185554
"9495",1271,"WBGene00001963","btb-1","pseudogene","NULL",NA
"9496",1181,"WBGene00003510","mxl-2","protein_coding","MaX-Like  [Source:UniProtKB/TrEMBL;Acc:Q9TZ70]",175184
"9497",2137,"WBGene00006715","ubc-20","protein_coding","UBiquitin Conjugating enzyme  [Source:UniProtKB/TrEMBL;Acc:Q9TZ69]",175185
"9498",996,"WBGene00018240","cox-17","protein_coding","Cytochrome OXidase assembly protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ68]",175186
"9499",21,"WBGene00169072","21ur-15576","piRNA","NULL",NA
"9500",2246,"WBGene00018239","sec-20","protein_coding","Yeast SEC homolog  [Source:UniProtKB/TrEMBL;Acc:C0Z1Y7]",175187
"9501",15604,"WBGene00185078","F40G9.17","protein_coding","NULL",13188172
"9502",5814,"WBGene00021124","W10C4.1","protein_coding","NULL",189329
"9503",68,"WBGene00199263","W10C4.2","ncRNA","NULL",NA
"9504",20459,"WBGene00002230","klp-20","protein_coding","Kinesin-like protein klp-20  [Source:UniProtKB/Swiss-Prot;Acc:Q965T6]",3565057
"9505",50,"WBGene00196135","Y50D7A.15","ncRNA","NULL",NA
"9506",4693,"WBGene00021755","hpo-38","protein_coding","NULL",175188
"9507",18224,"WBGene00021754","hpo-29","protein_coding","NULL",175189
"9508",67,"WBGene00200069","Y50D7A.16","ncRNA","NULL",NA
"9509",150,"WBGene00200820","Y50D7A.17","ncRNA","NULL",NA
"9510",10102,"WBGene00021753","Y50D7A.3","protein_coding","NULL",190101
"9511",17920,"WBGene00021752","xpd-1","protein_coding","XPD (Xeroderma Pigmentosum complementation group D) related  [Source:UniProtKB/TrEMBL;Acc:Q9N3L2]",175190
"9512",51,"WBGene00201608","Y50D7A.18","ncRNA","NULL",NA
"9513",5328,"WBGene00021757","taco-1","protein_coding","Translational Activator of Cytochrome c Oxidase  [Source:UniProtKB/TrEMBL;Acc:Q965T4]",175191
"9514",5164,"WBGene00194737","Y50D7A.13","protein_coding","NULL",13188188
"9515",21627,"WBGene00021751","Y50D7A.1","protein_coding","NULL",175193
"9516",2906,"WBGene00000081","ads-1","protein_coding","Alkyldihydroxyacetonephosphate synthase  [Source:UniProtKB/Swiss-Prot;Acc:O45218]",175192
"9517",93,"WBGene00196000","Y50D7A.14","ncRNA","NULL",NA
"9518",6262,"WBGene00021758","Y50D7A.10","protein_coding","NULL",259487
"9519",7286,"WBGene00021756","Y50D7A.8","protein_coding","NULL",175194
"9520",33944,"WBGene00001561","gei-4","protein_coding","GEX Interacting protein  [Source:UniProtKB/TrEMBL;Acc:Q65CL5]",175195
"9521",3181,"WBGene00219745","linc-90","lincRNA","NULL",NA
"9522",11612,"WBGene00004045","pll-1","protein_coding","Phosphoinositide phospholipase C  [Source:UniProtKB/TrEMBL;Acc:Q8IA76]",187273
"9523",3295,"WBGene00019636","gsto-3","protein_coding","Glutathione S-Transferase, Omega class  [Source:UniProtKB/TrEMBL;Acc:Q8IA74]",175196
"9524",671,"WBGene00019639","K10F12.7","protein_coding","NULL",3564780
"9525",929,"WBGene00023325","K10F12.1","pseudogene","NULL",NA
"9526",1057,"WBGene00023104","K10F12.8","ncRNA","NULL",NA
"9527",74,"WBGene00220020","K10F12.9","ncRNA","NULL",NA
"9528",663,"WBGene00019638","K10F12.6","protein_coding","NULL",187275
"9529",153,"WBGene00235190","K10F12.10","ncRNA","NULL",NA
"9530",3206,"WBGene00021909","Y55B1BL.1","protein_coding","NULL",175199
"9531",1083,"WBGene00303093","Y55B1BL.2","protein_coding","NULL",36805061
"9532",10645,"WBGene00021910","stim-1","protein_coding","Stromal interaction molecule 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EF60]",175201
"9533",2451,"WBGene00021913","cec-8","protein_coding","C.Elegans Chromodomain protein  [Source:UniProtKB/TrEMBL;Acc:Q95XW8]",175202
"9534",5252,"WBGene00021912","Y55B1BR.2","protein_coding","NULL",175203
"9535",3228,"WBGene00021911","Y55B1BR.1","protein_coding","NULL",190301
"9536",131,"WBGene00197039","Y55B1BR.7","ncRNA","NULL",NA
"9537",10027,"WBGene00044401","Y55B1BR.6","protein_coding","NULL",3565001
"9538",6988,"WBGene00021914","magu-1","protein_coding","MAGUK family  [Source:UniProtKB/TrEMBL;Acc:Q95XW5]",190302
"9539",3049,"WBGene00017328","nemp-1","protein_coding","Nuclear Envelope integral Membrane Protein homolog  [Source:UniProtKB/TrEMBL;Acc:Q19293]",175204
"9540",6869,"WBGene00003134","mat-3","protein_coding","Cell division cycle protein 23 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q19294]",175205
"9541",425,"WBGene00003770","nlp-32","protein_coding","Neuropeptide-like protein 32 YGGWG-amide GGW-amide GG-amide GYG-amide GGGWG-amide GGGW-amide GGG-amide GFYGG-amide GW-amide [Source:UniProtKB/Swiss-Prot;Acc:Q09982]",185132
"9542",689,"WBGene00044288","F30H5.5","protein_coding","NULL",3565189
"9543",11079,"WBGene00006781","unc-45","protein_coding","UNC-45  [Source:UniProtKB/TrEMBL;Acc:G5EG62]",175206
"9544",350,"WBGene00197590","F30H5.6","ncRNA","NULL",NA
"9545",342,"WBGene00198513","F30H5.7","ncRNA","NULL",NA
"9546",86,"WBGene00023020","F30H5.4","snoRNA","NULL",NA
"9547",6977,"WBGene00017937","F30H5.3","protein_coding","NULL",175207
"9548",92,"WBGene00201814","F30H5.8","ncRNA","NULL",NA
"9549",2895,"WBGene00020704","T22F7.5","protein_coding","NULL",259996
"9550",5689,"WBGene00020702","T22F7.3","protein_coding","NULL",188757
"9551",1691,"WBGene00020703","T22F7.4","protein_coding","NULL",188758
"9552",84,"WBGene00023147","T22F7.t1","tRNA","NULL",NA
"9553",4472,"WBGene00020701","T22F7.1","protein_coding","NULL",3564822
"9554",62,"WBGene00198942","B0353.2","ncRNA","NULL",NA
"9555",18930,"WBGene00015155","B0353.1","protein_coding","NULL",175209
"9556",612,"WBGene00021904","gtf-2H5","protein_coding","General Transcription Factor homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N390]",190298
"9557",9422,"WBGene00021905","helq-1","protein_coding","HELicase Q homolog  [Source:UniProtKB/TrEMBL;Acc:Q65XX0]",175210
"9558",10874,"WBGene00021906","Y55B1AR.2","protein_coding","NULL",175211
"9559",858,"WBGene00002269","lec-6","protein_coding","Galectin  [Source:UniProtKB/TrEMBL;Acc:Q9N384]",175212
"9560",1115,"WBGene00021907","Y55B1AR.3","protein_coding","NULL",190299
"9561",1513,"WBGene00021908","Y55B1AR.4","protein_coding","NULL",190300
"9562",991,"WBGene00020566","ttr-7","protein_coding","TransThyretin-Related family domain  [Source:UniProtKB/TrEMBL;Acc:Q7YZH4]",175213
"9563",2929,"WBGene00020559","best-17","protein_coding","Bestrophin homolog 17  [Source:UniProtKB/Swiss-Prot;Acc:Q22566]",188585
"9564",3667,"WBGene00020561","T19C3.3","protein_coding","NULL",188586
"9565",21,"WBGene00171046","21ur-15261","piRNA","NULL",NA
"9566",2741,"WBGene00020560","T19C3.2","protein_coding","NULL",175215
"9567",2009,"WBGene00020562","T19C3.4","protein_coding","NULL",175216
"9568",106,"WBGene00220072","T19C3.11","ncRNA","NULL",NA
"9569",3332,"WBGene00020563","T19C3.5","protein_coding","NULL",188587
"9570",2813,"WBGene00020564","T19C3.6","protein_coding","NULL",188588
"9571",2708,"WBGene00001412","fem-2","protein_coding","Protein phosphatase fem-2  [Source:UniProtKB/Swiss-Prot;Acc:P49594]",175217
"9572",1275,"WBGene00020565","T19C3.7","protein_coding","NULL",24104903
"9573",1941,"WBGene00021063","sbds-1","protein_coding","Ribosome maturation protein SBDS  [Source:UniProtKB/Swiss-Prot;Acc:Q23202]",175218
"9574",1696,"WBGene00044319","tag-266","protein_coding","Cysteine-rich hydrophobic protein  [Source:UniProtKB/TrEMBL;Acc:Q23203]",175219
"9575",836,"WBGene00044318","tag-267","protein_coding","NULL",175220
"9576",3555,"WBGene00021061","W06E11.1","protein_coding","NULL",189252
"9577",7710,"WBGene00015648","orai-1","protein_coding","NULL",175221
"9578",4024,"WBGene00015647","C09F5.1","protein_coding","BRICHOS domain-containing protein C09F5.1  [Source:UniProtKB/Swiss-Prot;Acc:Q09231]",175222
"9579",3419,"WBGene00015649","C09F5.3","protein_coding","Putative zinc finger protein C09F5.3  [Source:UniProtKB/Swiss-Prot;Acc:Q09452]",182454
"9580",336,"WBGene00020923","W02B3.3","protein_coding","NULL",189103
"9581",114,"WBGene00196366","W02B3.8","ncRNA","NULL",NA
"9582",4132,"WBGene00001709","grk-2","protein_coding","G protein-coupled receptor kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q09639]",175223
"9583",2785,"WBGene00020924","W02B3.4","protein_coding","NULL",189104
"9584",5797,"WBGene00020927","W02B3.7","protein_coding","NULL",189107
"9585",27085,"WBGene00016029","elf-1","protein_coding","ETS-Like transcription Factor homolog  [Source:UniProtKB/TrEMBL;Acc:Q400M2]",175226
"9586",3919,"WBGene00016030","C24A1.3","protein_coding","NULL",175225
"9587",113,"WBGene00219828","C24A1.8","snoRNA","NULL",NA
"9588",115,"WBGene00202144","C24A1.7","ncRNA","NULL",NA
"9589",150,"WBGene00199547","C24A1.5","ncRNA","NULL",NA
"9590",144,"WBGene00200602","C24A1.6","ncRNA","NULL",NA
"9591",1134,"WBGene00016028","flp-24","protein_coding","FMRFamide-like neuropeptides 24 VPSAGDMMVRF-amide [Source:UniProtKB/Swiss-Prot;Acc:O17058]",182824
"9592",25216,"WBGene00003936","pat-12","protein_coding","NULL",175227
"9593",2362,"WBGene00020550","T17H7.1","protein_coding","NULL",175228
"9594",21,"WBGene00167172","21ur-13981","piRNA","NULL",NA
"9595",2783,"WBGene00020551","T17H7.7","protein_coding","NULL",175229
"9596",614,"WBGene00018363","nlp-52","protein_coding","Neuropeptide-Like Protein  [Source:UniProtKB/TrEMBL;Acc:Q20348]",185678
"9597",7557,"WBGene00004212","ptl-1","protein_coding","Microtubule-associated protein  [Source:UniProtKB/TrEMBL;Acc:O02592]",175230
"9598",150,"WBGene00199003","F42G9.10","ncRNA","NULL",NA
"9599",1243,"WBGene00018365","tpst-2","protein_coding","Putative protein-tyrosine sulfotransferase  [Source:UniProtKB/Swiss-Prot;Acc:Q20351]",185681
"9600",757,"WBGene00000882","cyn-6","protein_coding","Peptidyl-prolyl cis-trans isomerase 6  [Source:UniProtKB/Swiss-Prot;Acc:P52014]",175231
"9601",4551,"WBGene00000117","alh-11","protein_coding","ALdehyde deHydrogenase  [Source:UniProtKB/TrEMBL;Acc:Q8MNS6]",185679
"9602",5051,"WBGene00018364","dagl-2","protein_coding","DiAcylGlycerol Lipase homolog  [Source:UniProtKB/TrEMBL;Acc:Q65ZK3]",3565075
"9603",2379,"WBGene00018362","ppm-1.G","protein_coding","Probable protein phosphatase 2C F42G9.1  [Source:UniProtKB/Swiss-Prot;Acc:P49595]",175233
"9604",7202,"WBGene00004922","snt-2","protein_coding","Synaptotagmin 2  [Source:UniProtKB/Swiss-Prot;Acc:K8FE10]",185680
"9605",821,"WBGene00004498","rps-29","protein_coding","Ribosomal Protein, Small subunit  [Source:UniProtKB/TrEMBL;Acc:P90983]",175235
"9606",128,"WBGene00023468","B0412.6","snoRNA","NULL",NA
"9607",126,"WBGene00044939","B0412.7","snoRNA","NULL",NA
"9608",14304,"WBGene00015173","trpp-11","protein_coding","TRansport Protein Particle  [Source:UniProtKB/TrEMBL;Acc:A0A131MCW2]",175236
"9609",1946,"WBGene00000903","daf-7","protein_coding","Dauer larva development regulatory growth factor daf-7  [Source:UniProtKB/Swiss-Prot;Acc:P92172]",175237
"9610",5586,"WBGene00000895","dac-1","protein_coding","DAChsund transcription factor homolog  [Source:UniProtKB/TrEMBL;Acc:Q86GT3]",175238
"9611",21,"WBGene00170721","21ur-9579","piRNA","NULL",NA
"9612",3187,"WBGene00019328","clec-149","protein_coding","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q21146]",186903
"9613",3688,"WBGene00019329","ceeh-1","protein_coding","Epoxide hydrolase 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EBI4]",175239
"9614",364,"WBGene00219709","linc-37","lincRNA","NULL",NA
"9615",175,"WBGene00220001","K02F3.15","snoRNA","NULL",NA
"9616",1951,"WBGene00019327","zip-2","protein_coding","BZIP transcription factor family  [Source:UniProtKB/TrEMBL;Acc:Q21148]",175240
"9617",3777,"WBGene00019331","dos-3","protein_coding","Delta and OSM-11-like  [Source:UniProtKB/TrEMBL;Acc:B2MZA5]",186905
"9618",167,"WBGene00200162","K02F3.13","ncRNA","NULL",NA
"9619",907,"WBGene00019332","K02F3.9","protein_coding","NULL",175241
"9620",868,"WBGene00001392","far-8","protein_coding","Fatty Acid/Retinol binding protein  [Source:UniProtKB/TrEMBL;Acc:Q21152]",186902
"9621",4745,"WBGene00019326","K02F3.2","protein_coding","Probable calcium-binding mitochondrial carrier K02F3.2  [Source:UniProtKB/Swiss-Prot;Acc:Q21153]",175242
"9622",1069,"WBGene00019333","moma-1","protein_coding","MICOS complex subunit MIC27  [Source:UniProtKB/Swiss-Prot;Acc:Q21154]",175243
"9623",1109,"WBGene00004388","rnp-5","protein_coding","RNP (RRM RNA binding domain) containing  [Source:UniProtKB/TrEMBL;Acc:Q21155]",175244
"9624",2317,"WBGene00006430","tag-51","protein_coding","NULL",175245
"9625",3531,"WBGene00019334","K02F3.12","protein_coding","Putative ATP-dependent DNA helicase Q1  [Source:UniProtKB/Swiss-Prot;Acc:Q9TXJ8]",175246
"9626",1127,"WBGene00000202","exos-4.2","protein_coding","EXOSome (Multiexonuclease complex) component  [Source:UniProtKB/TrEMBL;Acc:Q9N4P9]",259488
"9627",3094,"WBGene00021170","arx-4","protein_coding","Probable actin-related protein 2/3 complex subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:Q8WTM6]",175247
"9628",2476,"WBGene00020758","T24C4.2","protein_coding","NULL",188843
"9629",603,"WBGene00020759","T24C4.3","protein_coding","NULL",188844
"9630",910,"WBGene00020760","T24C4.4","protein_coding","NULL",188845
"9631",1113,"WBGene00044681","T24C4.8","protein_coding","NULL",4363056
"9632",2300,"WBGene00020761","T24C4.5","protein_coding","DNA primase  [Source:UniProtKB/TrEMBL;Acc:Q9TZ34]",188846
"9633",1647,"WBGene00020757","ucr-2.3","protein_coding","Ubiquinol-Cytochrome c oxidoReductase complex  [Source:UniProtKB/TrEMBL;Acc:Q9TZ33]",175248
"9634",5347,"WBGene00020762","zer-1","protein_coding","Zyg eleven-related protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q2WF59]",175249
"9635",5680,"WBGene00020763","ztf-18","protein_coding","Zinc finger putative Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:B9ZSG9]",175250
"9636",4373,"WBGene00017758","F23H11.2","protein_coding","TATA box-binding protein-associated factor RNA polymerase I subunit B  [Source:UniProtKB/Swiss-Prot;Acc:O01914]",175251
"9637",1307,"WBGene00017759","sucl-2","protein_coding","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial  [Source:UniProtKB/TrEMBL;Acc:O02642]",175252
"9638",5389,"WBGene00017760","F23H11.4","protein_coding","NULL",175253
"9639",1575,"WBGene00017763","crls-1","protein_coding","Probable cardiolipin synthase (CMP-forming)  [Source:UniProtKB/Swiss-Prot;Acc:O01916]",184910
"9640",633,"WBGene00000263","F23H11.5","protein_coding","NULL",175254
"9641",983,"WBGene00017757","bra-2","protein_coding","BMP Receptor Associated protein family  [Source:UniProtKB/TrEMBL;Acc:O01918]",175255
"9642",3750,"WBGene00017761","F23H11.6","protein_coding","NULL",184909
"9643",2335,"WBGene00017762","F23H11.7","protein_coding","NULL",175256
"9644",6787,"WBGene00003969","pef-1","protein_coding","Serine/threonine-protein phosphatase with EF-hands pef-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EBX9]",175257
"9645",21,"WBGene00165861","21ur-15209","piRNA","NULL",NA
"9646",2483,"WBGene00020453","fbxa-55","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:A0A163VTZ6]",188445
"9647",760,"WBGene00020454","fbxa-56","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ29]",188446
"9648",569,"WBGene00020452","fbxa-22","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ28]",188444
"9649",2591,"WBGene00020455","fbxa-59","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ27]",188447
"9650",964,"WBGene00023345","T12B5.9","pseudogene","NULL",NA
"9651",1504,"WBGene00020456","fbxa-60","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ26]",188448
"9652",1245,"WBGene00020459","fbxa-23","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ25]",188450
"9653",1371,"WBGene00020457","fbxa-67","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ24]",175258
"9654",1396,"WBGene00020451","fbxa-11","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ23]",188443
"9655",86,"WBGene00197530","T12B5.16","ncRNA","NULL",NA
"9656",86,"WBGene00198514","T12B5.17","ncRNA","NULL",NA
"9657",1385,"WBGene00020450","fbxa-10","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ22]",188442
"9658",363,"WBGene00050914","T12B5.15","protein_coding","NULL",6418659
"9659",423,"WBGene00050913","T12B5.14","protein_coding","NULL",6418658
"9660",1614,"WBGene00020449","fbxa-54","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ21]",188441
"9661",1080,"WBGene00020458","fbxa-70","pseudogene","NULL",NA
"9662",1376,"WBGene00020448","fbxa-51","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9TZ19]",188440
"9663",5616,"WBGene00019912","R06B10.1","pseudogene","NULL",NA
"9664",7141,"WBGene00019913","R06B10.2","protein_coding","Protein-tyrosine-phosphatase  [Source:UniProtKB/TrEMBL;Acc:O44874]",187638
"9665",11061,"WBGene00019915","tbc-10","protein_coding","TBC (Tre-2/Bub2/Cdc16) domain family  [Source:UniProtKB/TrEMBL;Acc:O44873]",3564790
"9666",10027,"WBGene00006615","trp-2","protein_coding","TRP (Transient receptor potential) channel family; TRP homlogous cation channel protein  [Source:UniProtKB/TrEMBL;Acc:G5EE02]",192056
"9667",267,"WBGene00019916","R06B10.7","protein_coding","NULL",175260
"9668",3592,"WBGene00019914","clec-150","protein_coding","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O44871]",175261
"9669",63,"WBGene00202141","R06B10.8","ncRNA","NULL",NA
"9670",1478,"WBGene00189956","Y34F4.6","protein_coding","NULL",13188384
"9671",851,"WBGene00021337","Y34F4.2","protein_coding","NULL",175262
"9672",457,"WBGene00021338","Y34F4.3","protein_coding","NULL",189592
"9673",923,"WBGene00021336","Y34F4.1","protein_coding","NULL",189591
"9674",1341,"WBGene00021339","Y34F4.4","protein_coding","NULL",175263
"9675",93,"WBGene00220140","Y34F4.7","ncRNA","NULL",NA
"9676",4150,"WBGene00021340","Y34F4.5","protein_coding","NULL",189593
"9677",2558,"WBGene00017153","E_BE45912.2","protein_coding","NULL",3565761
"9678",5889,"WBGene00015267","chin-1","protein_coding","CHImaeriN (Rac-GTPase-activating protein) homolog  [Source:UniProtKB/TrEMBL;Acc:Q965N4]",175268
"9679",8770,"WBGene00015266","BE0003N10.1","protein_coding","NULL",175269
"9680",71,"WBGene00023227","BE0003N10.t1","pseudogene","NULL",NA
"9681",71,"WBGene00023228","BE0003N10.t2","pseudogene","NULL",NA
"9682",71,"WBGene00023229","BE0003N10.t3","pseudogene","NULL",NA
"9683",71,"WBGene00023230","BE0003N10.t4","pseudogene","NULL",NA
"9684",7438,"WBGene00015268","BE0003N10.3","protein_coding","NULL",182047
"9685",71,"WBGene00023231","BE0003N10.t5","pseudogene","NULL",NA
"9686",72,"WBGene00023232","BE0003N10.t6","pseudogene","NULL",NA
"9687",205,"WBGene00195946","BE0003N10.4","ncRNA","NULL",NA
"9688",205,"WBGene00200732","BE0003N10.5","ncRNA","NULL",NA
"9689",3799,"WBGene00255598","BE0003N10.6","protein_coding","NULL",25502968
"9690",13763,"WBGene00006697","uaf-1","protein_coding","Splicing factor U2AF 65 kDa subunit  [Source:UniProtKB/Swiss-Prot;Acc:P90978]",175270
"9691",256,"WBGene00220215","Y92C3B.4","snoRNA","NULL",NA
"9692",2626,"WBGene00004277","rab-18","protein_coding","Ras-related protein Rab-18  [Source:UniProtKB/Swiss-Prot;Acc:Q8MXS1]",175272
"9693",400,"WBGene00022357","kbp-4","protein_coding","KNL (Kinetochore null) Binding Protein  [Source:UniProtKB/TrEMBL;Acc:Q9N2X3]",175273
"9694",13672,"WBGene00003917","par-2","protein_coding","NULL",175275
"9695",54,"WBGene00196865","F58B6.6","ncRNA","NULL",NA
"9696",56,"WBGene00198943","F58B6.8","ncRNA","NULL",NA
"9697",48,"WBGene00198149","F58B6.7","ncRNA","NULL",NA
"9698",48,"WBGene00199933","F58B6.9","ncRNA","NULL",NA
"9699",8700,"WBGene00019030","exc-6","protein_coding","Excretory canal abnormal protein 6  [Source:UniProtKB/Swiss-Prot;Acc:Q9TYU9]",175277
"9700",4096,"WBGene00019029","F58B6.1","protein_coding","NULL",186497
"9701",26504,"WBGene00022104","acsd-1","protein_coding","2-amino-3-carboxymuconate-6-semialdehyde decarboxylase  [Source:UniProtKB/Swiss-Prot;Acc:Q8T8B9]",175280
"9702",73,"WBGene00023189","Y71D11A.7","snoRNA","NULL",NA
"9703",10783,"WBGene00022106","lgc-46","protein_coding","Probable ligand-gated ion channel 46  [Source:UniProtKB/Swiss-Prot;Acc:Q95Y52]",175279
"9704",2040,"WBGene00004891","smr-1","protein_coding","SMN (Survival of Motor Neuron protein) Related  [Source:UniProtKB/TrEMBL;Acc:Q95Y51]",175281
"9705",89,"WBGene00199172","Y71D11A.8","ncRNA","NULL",NA
"9706",29094,"WBGene00022103","cdh-12","protein_coding","CaDHerin family  [Source:UniProtKB/TrEMBL;Acc:K8F801]",190583
"9707",97,"WBGene00201990","Y92C3A.8","ncRNA","NULL",NA
"9708",86,"WBGene00202117","Y92C3A.9","ncRNA","NULL",NA
"9709",74,"WBGene00023196","Y92C3A.t2","tRNA","NULL",NA
"9710",125,"WBGene00196621","Y92C3A.5","ncRNA","NULL",NA
"9711",74,"WBGene00023197","Y92C3A.t3","tRNA","NULL",NA
"9712",216,"WBGene00195796","Y92C3A.4","ncRNA","NULL",NA
"9713",69,"WBGene00198626","Y92C3A.7","ncRNA","NULL",NA
"9714",1447,"WBGene00022356","eak-3","protein_coding","Enhancer of AKt-1 null  [Source:UniProtKB/TrEMBL;Acc:Q9BL23]",190782
"9715",52,"WBGene00197754","Y92C3A.6","ncRNA","NULL",NA
"9716",2953,"WBGene00022490","Y119D3B.13","protein_coding","NULL",175283
"9717",8565,"WBGene00022491","Y119D3B.14","protein_coding","Mitochondrial elongation factor G2  [Source:UniProtKB/TrEMBL;Acc:Q95Y73]",191043
"9718",1926,"WBGene00022492","dss-1","protein_coding","Probable 26S proteasome complex subunit dss-1  [Source:UniProtKB/Swiss-Prot;Acc:Q95Y72]",175284
"9719",5449,"WBGene00022493","mrpl-45","protein_coding","Probable 39S ribosomal protein L45, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q95Y71]",191044
"9720",4799,"WBGene00022489","Y119D3B.12","protein_coding","NULL",175285
"9721",5547,"WBGene00022488","orc-3","protein_coding","ORC (Origin Recognition Complex) subunit  [Source:UniProtKB/TrEMBL;Acc:Q95Y69]",175286
"9722",343,"WBGene00022497","Y119D3B.21","protein_coding","NULL",246006
"9723",5957,"WBGene00003978","pes-4","protein_coding","Patterned Expression Site  [Source:UniProtKB/TrEMBL;Acc:Q95Y67]",175288
"9724",87,"WBGene00198758","Y119D3B.24","ncRNA","NULL",NA
"9725",74,"WBGene00023206","Y119D3B.t1","tRNA","NULL",NA
"9726",142,"WBGene00198362","Y119D3B.23","ncRNA","NULL",NA
"9727",142,"WBGene00198919","Y119D3B.25","ncRNA","NULL",NA
"9728",607,"WBGene00023205","Y119D3B.10","ncRNA","NULL",NA
"9729",100,"WBGene00200322","Y119D3B.26","ncRNA","NULL",NA
"9730",48,"WBGene00200902","Y119D3B.27","ncRNA","NULL",NA
"9731",1128,"WBGene00022487","fbxa-21","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q95Y66]",191042
"9732",3521,"WBGene00022486","fbxa-61","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q8IAB2]",191041
"9733",1771,"WBGene00022485","fbxa-63","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q95Y64]",191040
"9734",1536,"WBGene00044675","fbxa-76","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q2WF62]",4363050
"9735",2346,"WBGene00022484","fbxa-77","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q95Y63]",175290
"9736",1018,"WBGene00022494","fbxa-91","pseudogene","NULL",NA
"9737",1379,"WBGene00022483","srz-8","protein_coding","Serpentine Receptor, class Z  [Source:UniProtKB/TrEMBL;Acc:G5EFP6]",191039
"9738",1202,"WBGene00022495","fbxa-78","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:G5EDF8]",191046
"9739",761,"WBGene00022482","fbxa-208","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q95Y61]",191038
"9740",899,"WBGene00022496","fbxa-92","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q95Y60]",191047
"9741",1379,"WBGene00022481","srz-9","protein_coding","Serpentine Receptor, class Z  [Source:UniProtKB/TrEMBL;Acc:G5EFP6]",191037
"9742",1183,"WBGene00013840","fbxa-151","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:G5EDF8]",191061
"9743",1919,"WBGene00013839","fbxa-32","protein_coding","F-box A protein  [Source:UniProtKB/TrEMBL;Acc:A4F329]",191060
